PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
0KqRQ,3r1rk1/p4ppp/1p2pn2/4n3/2bP4/6P1/P2Q1P1P/R3KB1R w KQ - 2 17,f1c4 e5f3 e1e2 f3d2,1325,78,92,726,advantage fork middlegame short,Queens Indian Defense: Kasparov Variation
0KrAd,rnb3nr/pp4kp/2p2q2/8/1b1pPNBP/3P2p1/PPP3P1/R1BQ1K1R b - - 4 14,b4d6 g4c8 d6f4 d1g4,1976,76,91,954,advantage opening short,Kings Gambit Accepted: Allgaier Gambit
0KtTw,r1bq1bkr/p1p3pp/1p2p3/3p4/1n6/N4N2/PPPPQPPP/R1B2RK1 b - - 3 10,c8a6 e2e6,866,91,94,109,kingsideAttack mate mateIn1 oneMove opening,Alekhine Defense: Krejcik Variation
0L0cR,r2r4/pp1b1pkp/3Ppp2/4n3/4N3/P4B2/1q3PPP/1R1Q1RK1 b - - 2 18,e5f3 d1f3 b2e5 f3g4 g7h8 g4h4 d7c6 e4f6,2303,139,84,18,advantage middlegame veryLong,Nimzo-Indian Defense: Reshevsky Variation
0LK6D,r2q1rk1/1p1bpp1p/p2p2p1/2pPb3/2P1P3/2N1Q3/PP2BPPP/4RRK1 w - - 0 14,f2f4 e5d4,1136,76,93,397,crushing middlegame oneMove pin,Kings Indian Defense: Larsen Variation
0LLxF,5r1k/pb4pp/6n1/2P5/2B1pq2/P1N2p2/2PP1PPP/R1B1QRK1 w - - 1 18,e1e3 f4g4 e3g5 g4g5,2056,75,93,693,crushing middlegame short,Scandinavian Defense: Kloosterboer Gambit
0LYxU,r1b1rbk1/ppp2p1p/3pn1q1/3N3p/1PP1P2N/8/P4PPP/R2Q1RK1 b - - 3 16,g6e4 d5f6 g8h8 f6e4,1042,84,94,5131,crushing fork opening short,Old Indian Defense: Normal Variation
0La3U,r2k2r1/ppp1q1bp/2np4/7Q/5R1P/2NP4/PPP3P1/R1B3K1 w - - 3 16,c3d5 e7e1 f4f1 g7d4,1178,77,87,785,advantage kingsideAttack middlegame short,Kings Gambit Accepted: Kieseritzky Gambit
0LrlN,rn6/pp2kRp1/2pNp1p1/3n2P1/3P4/2N4r/PPP5/R1B3K1 b - - 2 17,e7d6 c3e4,1596,86,80,299,mate mateIn1 middlegame oneMove,Blackmar-Diemer Gambit Accepted: Teichmann Defense
0M6ky,r2q1rk1/pbp2pp1/1pn1pb2/4N2Q/3P4/2N2R2/PPP3PP/R6K b - - 3 14,c6d4 f3h3 f6h4 h3h4 d8h4 h5h4,1597,77,89,1271,crushing long middlegame quietMove,Blackmar-Diemer Gambit: Euwe Defense
0MBWe,r2qnrk1/pp2p1bp/2p1b1p1/3p4/5N2/1B3Q2/PPPB1PPP/R3R1K1 b - - 0 15,d8d6 e1e6 d6e6 f4e6 f8f3 g2f3,1613,76,82,198,advantage long middlegame,Pirc Defense: Kholmov System
0MFK0,2kr2nr/ppp2pp1/3b4/4q2p/4P1b1/2N1B3/PPP1BPPP/R3QRK1 w - - 0 12,e3a7 e5h2,906,79,89,98,kingsideAttack mate mateIn1 oneMove opening,Zukertort Opening: Vos Gambit
0MHG0,r2q1rk1/pppbbppp/2n2n2/3p2B1/7Q/2NBPN2/PPP2PPP/R3K2R b KQ - 4 9,c6b4 d3h7 f6h7 g5e7,2118,77,90,760,advantage kingsideAttack middlegame short,Van Geet Opening: Reversed Scandinavian
